Number_of_class,Path_to_img
0,data/kaggle_simpson_testset/kaggle_simpson_testset/abraham_grampa_simpson_0.jpg
0,data/kaggle_simpson_testset/kaggle_simpson_testset/abraham_grampa_simpson_1.jpg
0,data/kaggle_simpson_testset/kaggle_simpson_testset/abraham_grampa_simpson_10.jpg
0,data/kaggle_simpson_testset/kaggle_simpson_testset/abraham_grampa_simpson_11.jpg
0,data/kaggle_simpson_testset/kaggle_simpson_testset/abraham_grampa_simpson_12.jpg
0,data/kaggle_simpson_testset/kaggle_simpson_testset/abraham_grampa_simpson_13.jpg
0,data/kaggle_simpson_testset/kaggle_simpson_testset/abraham_grampa_simpson_14.jpg
0,data/kaggle_simpson_testset/kaggle_simpson_testset/abraham_grampa_simpson_15.jpg
0,data/kaggle_simpson_testset/kaggle_simpson_testset/abraham_grampa_simpson_16.jpg
0,data/kaggle_simpson_testset/kaggle_simpson_testset/abraham_grampa_simpson_17.jpg
0,data/kaggle_simpson_testset/kaggle_simpson_testset/abraham_grampa_simpson_18.jpg
0,data/kaggle_simpson_testset/kaggle_simpson_testset/abraham_grampa_simpson_19.jpg
0,data/kaggle_simpson_testset/kaggle_simpson_testset/abraham_grampa_simpson_2.jpg
0,data/kaggle_simpson_testset/kaggle_simpson_testset/abraham_grampa_simpson_20.jpg
0,data/kaggle_simpson_testset/kaggle_simpson_testset/abraham_grampa_simpson_21.jpg
0,data/kaggle_simpson_testset/kaggle_simpson_testset/abraham_grampa_simpson_22.jpg
0,data/kaggle_simpson_testset/kaggle_simpson_testset/abraham_grampa_simpson_23.jpg
0,data/kaggle_simpson_testset/kaggle_simpson_testset/abraham_grampa_simpson_24.jpg
0,data/kaggle_simpson_testset/kaggle_simpson_testset/abraham_grampa_simpson_25.jpg
0,data/kaggle_simpson_testset/kaggle_simpson_testset/abraham_grampa_simpson_26.jpg
0,data/kaggle_simpson_testset/kaggle_simpson_testset/abraham_grampa_simpson_27.jpg
0,data/kaggle_simpson_testset/kaggle_simpson_testset/abraham_grampa_simpson_28.jpg
0,data/kaggle_simpson_testset/kaggle_simpson_testset/abraham_grampa_simpson_29.jpg
0,data/kaggle_simpson_testset/kaggle_simpson_testset/abraham_grampa_simpson_3.jpg
0,data/kaggle_simpson_testset/kaggle_simpson_testset/abraham_grampa_simpson_30.jpg
0,data/kaggle_simpson_testset/kaggle_simpson_testset/abraham_grampa_simpson_31.jpg
0,data/kaggle_simpson_testset/kaggle_simpson_testset/abraham_grampa_simpson_32.jpg
0,data/kaggle_simpson_testset/kaggle_simpson_testset/abraham_grampa_simpson_33.jpg
0,data/kaggle_simpson_testset/kaggle_simpson_testset/abraham_grampa_simpson_34.jpg
0,data/kaggle_simpson_testset/kaggle_simpson_testset/abraham_grampa_simpson_35.jpg
0,data/kaggle_simpson_testset/kaggle_simpson_testset/abraham_grampa_simpson_36.jpg
0,data/kaggle_simpson_testset/kaggle_simpson_testset/abraham_grampa_simpson_37.jpg
0,data/kaggle_simpson_testset/kaggle_simpson_testset/abraham_grampa_simpson_38.jpg
0,data/kaggle_simpson_testset/kaggle_simpson_testset/abraham_grampa_simpson_39.jpg
0,data/kaggle_simpson_testset/kaggle_simpson_testset/abraham_grampa_simpson_4.jpg
0,data/kaggle_simpson_testset/kaggle_simpson_testset/abraham_grampa_simpson_40.jpg
0,data/kaggle_simpson_testset/kaggle_simpson_testset/abraham_grampa_simpson_41.jpg
0,data/kaggle_simpson_testset/kaggle_simpson_testset/abraham_grampa_simpson_42.jpg
0,data/kaggle_simpson_testset/kaggle_simpson_testset/abraham_grampa_simpson_43.jpg
0,data/kaggle_simpson_testset/kaggle_simpson_testset/abraham_grampa_simpson_44.jpg
0,data/kaggle_simpson_testset/kaggle_simpson_testset/abraham_grampa_simpson_45.jpg
0,data/kaggle_simpson_testset/kaggle_simpson_testset/abraham_grampa_simpson_46.jpg
0,data/kaggle_simpson_testset/kaggle_simpson_testset/abraham_grampa_simpson_47.jpg
0,data/kaggle_simpson_testset/kaggle_simpson_testset/abraham_grampa_simpson_48.jpg
0,data/kaggle_simpson_testset/kaggle_simpson_testset/abraham_grampa_simpson_49.jpg
0,data/kaggle_simpson_testset/kaggle_simpson_testset/abraham_grampa_simpson_7.jpg
0,data/kaggle_simpson_testset/kaggle_simpson_testset/abraham_grampa_simpson_8.jpg
0,data/kaggle_simpson_testset/kaggle_simpson_testset/abraham_grampa_simpson_9.jpg
2,data/kaggle_simpson_testset/kaggle_simpson_testset/apu_nahasapeemapetilon_0.jpg
2,data/kaggle_simpson_testset/kaggle_simpson_testset/apu_nahasapeemapetilon_1.jpg
2,data/kaggle_simpson_testset/kaggle_simpson_testset/apu_nahasapeemapetilon_10.jpg
2,data/kaggle_simpson_testset/kaggle_simpson_testset/apu_nahasapeemapetilon_11.jpg
2,data/kaggle_simpson_testset/kaggle_simpson_testset/apu_nahasapeemapetilon_12.jpg
2,data/kaggle_simpson_testset/kaggle_simpson_testset/apu_nahasapeemapetilon_13.jpg
2,data/kaggle_simpson_testset/kaggle_simpson_testset/apu_nahasapeemapetilon_14.jpg
2,data/kaggle_simpson_testset/kaggle_simpson_testset/apu_nahasapeemapetilon_15.jpg
2,data/kaggle_simpson_testset/kaggle_simpson_testset/apu_nahasapeemapetilon_16.jpg
2,data/kaggle_simpson_testset/kaggle_simpson_testset/apu_nahasapeemapetilon_17.jpg
2,data/kaggle_simpson_testset/kaggle_simpson_testset/apu_nahasapeemapetilon_18.jpg
2,data/kaggle_simpson_testset/kaggle_simpson_testset/apu_nahasapeemapetilon_19.jpg
2,data/kaggle_simpson_testset/kaggle_simpson_testset/apu_nahasapeemapetilon_2.jpg
2,data/kaggle_simpson_testset/kaggle_simpson_testset/apu_nahasapeemapetilon_20.jpg
2,data/kaggle_simpson_testset/kaggle_simpson_testset/apu_nahasapeemapetilon_21.jpg
2,data/kaggle_simpson_testset/kaggle_simpson_testset/apu_nahasapeemapetilon_22.jpg
2,data/kaggle_simpson_testset/kaggle_simpson_testset/apu_nahasapeemapetilon_23.jpg
2,data/kaggle_simpson_testset/kaggle_simpson_testset/apu_nahasapeemapetilon_24.jpg
2,data/kaggle_simpson_testset/kaggle_simpson_testset/apu_nahasapeemapetilon_25.jpg
2,data/kaggle_simpson_testset/kaggle_simpson_testset/apu_nahasapeemapetilon_26.jpg
2,data/kaggle_simpson_testset/kaggle_simpson_testset/apu_nahasapeemapetilon_27.jpg
2,data/kaggle_simpson_testset/kaggle_simpson_testset/apu_nahasapeemapetilon_28.jpg
2,data/kaggle_simpson_testset/kaggle_simpson_testset/apu_nahasapeemapetilon_29.jpg
2,data/kaggle_simpson_testset/kaggle_simpson_testset/apu_nahasapeemapetilon_3.jpg
2,data/kaggle_simpson_testset/kaggle_simpson_testset/apu_nahasapeemapetilon_30.jpg
2,data/kaggle_simpson_testset/kaggle_simpson_testset/apu_nahasapeemapetilon_31.jpg
2,data/kaggle_simpson_testset/kaggle_simpson_testset/apu_nahasapeemapetilon_32.jpg
2,data/kaggle_simpson_testset/kaggle_simpson_testset/apu_nahasapeemapetilon_33.jpg
2,data/kaggle_simpson_testset/kaggle_simpson_testset/apu_nahasapeemapetilon_34.jpg
2,data/kaggle_simpson_testset/kaggle_simpson_testset/apu_nahasapeemapetilon_35.jpg
2,data/kaggle_simpson_testset/kaggle_simpson_testset/apu_nahasapeemapetilon_36.jpg
2,data/kaggle_simpson_testset/kaggle_simpson_testset/apu_nahasapeemapetilon_37.jpg
2,data/kaggle_simpson_testset/kaggle_simpson_testset/apu_nahasapeemapetilon_38.jpg
2,data/kaggle_simpson_testset/kaggle_simpson_testset/apu_nahasapeemapetilon_39.jpg
2,data/kaggle_simpson_testset/kaggle_simpson_testset/apu_nahasapeemapetilon_4.jpg
2,data/kaggle_simpson_testset/kaggle_simpson_testset/apu_nahasapeemapetilon_40.jpg
2,data/kaggle_simpson_testset/kaggle_simpson_testset/apu_nahasapeemapetilon_41.jpg
2,data/kaggle_simpson_testset/kaggle_simpson_testset/apu_nahasapeemapetilon_42.jpg
2,data/kaggle_simpson_testset/kaggle_simpson_testset/apu_nahasapeemapetilon_43.jpg
2,data/kaggle_simpson_testset/kaggle_simpson_testset/apu_nahasapeemapetilon_44.jpg
2,data/kaggle_simpson_testset/kaggle_simpson_testset/apu_nahasapeemapetilon_45.jpg
2,data/kaggle_simpson_testset/kaggle_simpson_testset/apu_nahasapeemapetilon_46.jpg
2,data/kaggle_simpson_testset/kaggle_simpson_testset/apu_nahasapeemapetilon_47.jpg
2,data/kaggle_simpson_testset/kaggle_simpson_testset/apu_nahasapeemapetilon_48.jpg
2,data/kaggle_simpson_testset/kaggle_simpson_testset/apu_nahasapeemapetilon_49.jpg
2,data/kaggle_simpson_testset/kaggle_simpson_testset/apu_nahasapeemapetilon_5.jpg
2,data/kaggle_simpson_testset/kaggle_simpson_testset/apu_nahasapeemapetilon_6.jpg
2,data/kaggle_simpson_testset/kaggle_simpson_testset/apu_nahasapeemapetilon_7.jpg
2,data/kaggle_simpson_testset/kaggle_simpson_testset/apu_nahasapeemapetilon_8.jpg
2,data/kaggle_simpson_testset/kaggle_simpson_testset/apu_nahasapeemapetilon_9.jpg
4,data/kaggle_simpson_testset/kaggle_simpson_testset/bart_simpson_0.jpg
4,data/kaggle_simpson_testset/kaggle_simpson_testset/bart_simpson_1.jpg
4,data/kaggle_simpson_testset/kaggle_simpson_testset/bart_simpson_10.jpg
4,data/kaggle_simpson_testset/kaggle_simpson_testset/bart_simpson_11.jpg
4,data/kaggle_simpson_testset/kaggle_simpson_testset/bart_simpson_12.jpg
4,data/kaggle_simpson_testset/kaggle_simpson_testset/bart_simpson_13.jpg
4,data/kaggle_simpson_testset/kaggle_simpson_testset/bart_simpson_14.jpg
4,data/kaggle_simpson_testset/kaggle_simpson_testset/bart_simpson_15.jpg
4,data/kaggle_simpson_testset/kaggle_simpson_testset/bart_simpson_16.jpg
